V1,V3,V4,V5,rid,consent,age,gender,hhi,ethnicity,hispanic,education,region,zip,inputstate,votereg,pid3,dem_strength,rep_strength,ind_lean,pid7,educ4,ideo5,marstat,presvote16_post,intent,presvote2020,presvote2020_voted,presvote_2020lean,religpew,pew_bornagain,employ,newsint,urbancity,class,acknowledgment,nationalweight,margin,trumplose,whytrump,tres11,tres22,tres33,duration
R_VRvqhR7TO2WvdAt,10/25/20 13:11,10/25/20 13:26,1,5f95cd85-ee5e-7d9c-571c-957888963276,1,74,2,11,1,1,5,3,34481,10,1,2,NA,1,NA,7,3,NA,1,2,3,NA,2,NA,1,2,5,1,2,3,3,0.783777507,10,1,"The Democrats are promoting sending out ballots to all registered voters in many states without checking to see if the recipient still lives at the address, if the person is alive, or maybe have moved to another state.",Voter Fraud,NA,NA,15.57
R_3QGmovUVO3tWbZ0,10/25/20 13:45,10/25/20 13:53,1,5f95d5b7-eea5-d9dd-6dba-581a229df10b,1,65,1,8,1,1,4,3,29585,42,1,2,NA,1,NA,7,2,4,6,2,3,NA,2,NA,9,2,5,1,2,3,6,0.965594593,3,1,"If Biden ""wins"", it will be from monkeying around with mail-in ballots incorrectly counted after Election Day.  Big city Democrat mayors have a long history of doing this.",Voter Fraud,NA,NA,8.75
R_3ISu3d4yIzpRovw,10/25/20 14:13,10/25/20 14:26,1,5f95dc43-e099-a275-145a-f214985e4bbf,1,61,1,10,1,1,5,3,31833,11,1,1,1,NA,NA,1,3,1,4,3,1,2,NA,NA,11,1,5,1,1,4,5,0.721428635,2,1,Fraud against him has already been established in mail-in votes.,Voter Fraud,NA,NA,12.78
R_1CeYB32ARStyqj6,10/25/20 20:32,10/25/20 20:41,1,5f95f65b-5e9c-662c-7c5b-8e5924484bc4,1,42,2,10,15,16,5,3,37771,44,1,2,NA,1,NA,7,3,4,1,7,5,2,NA,NA,11,1,1,2,3,4,4,0.715639385,9,1,Because mail ballots are a bad idea so many things get lost in the the ballots will be no different,Voter Fraud,NA,NA,9.3
R_1LNcLUIBcgKMpyi,10/25/20 7:21,10/25/20 7:28,1,5f957b94-3d43-a451-a729-839a1d97c982,1,32,1,-3105,1,15,4,3,28115,34,1,2,NA,2,NA,6,2,4,1,2,1,2,NA,NA,1,1,7,3,2,3,5,0.97038601,4,1,Fuck you liberal,Support Trump,NA,NA,6.55
R_3m8JgvSDG63lEr3,10/25/20 7:21,10/25/20 7:29,1,5f957bb4-9766-b01d-5e37-58dd096fb1b4,1,40,1,22,1,6,6,2,50530,33,1,2,NA,1,NA,7,4,4,1,2,1,2,NA,NA,5,1,1,1,1,2,1,0.970495069,5,1,They should never give up,Support Trump,NA,NA,8.3
R_1rNOXmMyhkyJJcY,10/25/20 7:22,10/25/20 7:29,1,5f957bf5-659c-0b28-5a1b-c6c49038b800,1,36,2,2,1,1,5,3,79107,45,1,1,2,NA,NA,2,3,2,5,2,1,2,NA,NA,11,1,2,1,1,4,4,0.454977443,3,1,Hes not biden,Support Trump,NA,NA,7.7
R_1dFDP5yk5mrHWkH,10/25/20 7:16,10/25/20 7:33,1,5f957a9f-16ad-1846-bdcf-bef8aa1634ec,1,35,2,1,1,1,1,1,6118,7,1,3,NA,NA,3,4,1,3,5,6,1,2,NA,NA,12,2,7,2,3,3,6,0.869036868,3,1,I am saying that because i am for trump 2020,Support Trump,NA,NA,16.5
R_2z8XqkfD4eGNJIb,10/25/20 7:26,10/25/20 7:36,1,5f957cd1-794b-2583-99bc-084774a88533,1,55,2,6,1,15,2,3,77032,45,1,2,NA,2,NA,6,1,3,3,2,1,2,NA,NA,11,1,2,2,2,3,5,1.697806861,2,1,To have a chance of staying in office,Support Trump,NA,NA,9.85
R_2Wvd4D9RSiVX12d,10/25/20 7:12,10/25/20 7:36,1,5f957927-d60b-0830-f59a-0195c38dc72f,1,40,2,4,1,1,2,3,23308,48,1,2,NA,1,NA,7,1,5,5,7,1,2,NA,NA,11,2,1,1,3,1,3,0.967606404,1,1,Trump is the best,Support Trump,NA,NA,24.5
R_2AXtckVfVabxCas,10/25/20 7:35,10/25/20 7:42,1,5f957eef-f9ee-284b-2318-70e2198621fe,1,26,1,5,1,1,6,3,39157,25,1,2,NA,1,NA,7,4,3,1,2,1,2,NA,NA,2,2,2,2,1,2,2,0.671639468,13,1,Is cool and special campaign,Support Trump,NA,NA,6.97
R_3iNXXPYSh5aU8Xb,10/25/20 7:16,10/25/20 8:02,1,5f957a4e-0461-b556-78a3-d4209564923a,1,36,2,1,1,1,5,1,17067,39,1,2,NA,2,NA,6,3,4,5,2,2,2,NA,NA,1,1,1,2,3,4,3,0.383314363,11,1,They should have more votes than Biden.,Support Trump,NA,NA,46.6
R_1fd7uT1trdQ8phl,10/25/20 7:55,10/25/20 8:04,1,5f9583dc-4a47-a533-7d85-4535c0d37038,1,19,1,1,4,14,1,4,94110,5,1,2,NA,2,NA,6,1,2,5,NA,1,8,NA,2,11,2,2,2,2,2,3,2.444355226,8,1,Good mind and sharp,Support Trump,NA,NA,8.48
R_3QPm3sWK0AR8BrC,10/25/20 8:09,10/25/20 8:16,1,5f9586e5-2f7f-7a88-34e7-00c529de99cf,1,50,2,5,1,1,3,1,13363,33,1,5,NA,NA,3,4,2,3,3,2,1,2,NA,NA,1,1,1,2,3,4,3,0.837835112,8,1,Fight for rights,Support Trump,NA,NA,6.97
R_1GV5bYz7dHerFZH,10/25/20 8:15,10/25/20 8:24,1,5f958875-ade3-f470-552e-c31c519c6499,1,42,2,1,15,1,5,4,80401,6,1,3,NA,NA,3,4,3,3,5,7,5,2,NA,NA,11,2,5,4,3,3,1,0.471177717,3,1,Because he gets more time to fix things that Democratic Party turns communists against USA notaries laws they swore to protect,Support Trump,NA,NA,9.1
R_32VFHSQqQX87fJs,10/25/20 8:22,10/25/20 8:29,1,5f958a20-db43-027b-52fe-818c5a048725,1,60,2,14,2,1,6,2,60090,14,3,3,NA,NA,2,5,4,5,6,7,5,2,NA,NA,12,2,2,2,2,2,5,0.697352956,11,1,This is not going to happen. The ending of this story has already been written. Antifa and dems will riot per Harris,Support Trump,Democrats are Corrupt,NA,6.73
R_1LheFlhPHE3nczU,10/25/20 8:13,10/25/20 8:37,1,5f9587c7-3aa9-b45c-b597-e88c2adc8927,1,45,1,24,1,1,6,1,11208,33,1,2,NA,2,NA,6,4,4,1,1,1,2,NA,NA,6,1,1,1,1,2,6,0.766314617,5,1,bad person,Support Trump,NA,NA,24.63
R_1FfXgHEXOX9s4rb,10/25/20 9:05,10/25/20 9:15,1,5f959409-36cc-2a57-8358-8349a0fe7717,1,64,1,9,16,15,3,4,85710,3,1,3,NA,NA,3,4,2,4,3,2,1,2,NA,NA,12,2,5,1,2,3,6,0.83263029,11,1,"why shouldn't he? The democrats did it to him by spying on his campain and then after he was in office, they are scum!",Support Trump,Democrats are Corrupt,NA,9.77
R_BzVOOeMHWPPGaQN,10/25/20 9:42,10/25/20 9:48,1,5f959cd4-280f-ee8f-aa00-38766a3fbeb7,1,36,2,5,1,1,5,4,97303,38,1,2,NA,1,NA,7,3,5,5,2,3,NA,2,NA,1,1,1,1,2,3,5,0.472116228,1,1,He is the only one who should win,Support Trump,NA,NA,5.67
R_1Eck6vuWi0LHg8N,10/25/20 9:46,10/25/20 9:52,1,5f959d88-08b4-76f1-c334-72ff3850286a,1,53,2,18,1,1,2,3,28021,34,1,2,NA,1,NA,7,1,5,1,2,1,2,NA,NA,11,1,7,2,3,4,6,1.051771219,7,1,They shouldn’t TRUMP 🇺🇸 #2020,Support Trump,NA,NA,6
R_25Mc4cYit0L6ngZ,10/25/20 9:47,10/25/20 9:58,1,5f959dfc-73a7-9325-6202-a35642fc55a3,1,64,2,8,1,1,3,3,32535,10,1,2,NA,1,NA,7,2,5,1,7,3,NA,2,NA,12,1,6,1,3,5,5,0.809378612,11,1,BECAUSE HE HAS DONE MORE FOR THIS COUTRY IN 4 YEARS THEN BIDEN HAS IN 47 YEARS,Support Trump,NA,NA,10.62
R_1f1RdfgyqXig6zv,10/25/20 9:43,10/25/20 9:58,1,5f959d1e-0c70-d39a-3d0d-dde805503911,1,27,2,1,1,1,2,3,29053,42,3,3,NA,NA,2,5,1,3,6,7,1,2,NA,NA,1,1,7,1,3,4,1,0.876835918,14,1,He is the one that should win the election.,Support Trump,NA,NA,14.92
R_1rHZRlX6WiGLAZm,10/25/20 9:53,10/25/20 9:58,1,5f959f65-8401-9813-880e-9634b35af6ce,1,36,1,8,1,1,5,2,63118,26,1,2,NA,2,NA,6,3,4,5,2,1,2,NA,NA,2,2,1,2,2,3,1,0.512788451,12,1,Because with all of the absentee ballots nobody is going to know the true outcome until a while after election day.,Support Trump,NA,NA,5.4
R_6fiOfeHHHhRbq3T,10/25/20 9:54,10/25/20 10:03,1,5f959f9e-7d76-1108-61e5-1c4e7095dba9,1,51,2,9,1,1,5,4,99161,49,1,3,NA,NA,2,5,3,5,1,2,3,NA,2,NA,12,1,9,3,3,4,6,0.609219914,4,1,They need to try as hard as possible to stay in office.,Support Trump,NA,NA,8.8
R_3MapwvL0AsVgzPZ,10/25/20 9:56,10/25/20 10:03,1,5f959fdf-4281-e2df-472e-5025ecb4a688,1,24,1,1,1,1,2,3,38401,44,1,2,NA,1,NA,7,1,5,5,2,1,2,NA,NA,1,1,4,1,2,3,4,1.046071652,1,1,Contest it.,Support Trump,NA,NA,7.62
R_2dzHt1MLkuQLWdB,10/25/20 9:49,10/25/20 10:06,1,5f959e37-ff56-5c9a-5585-ef94533ee4f8,1,25,1,6,1,1,5,3,32333,10,1,1,1,NA,NA,1,3,1,1,1,1,2,NA,NA,1,1,1,1,1,1,5,0.725255985,11,1,It is good,Support Trump,NA,NA,17.08
R_2bTUQh2vBGqvVs8,10/25/20 10:00,10/25/20 10:11,1,5f95a0d4-c078-b0ad-db70-22fa4ee54ef3,1,22,2,1,1,1,2,3,35806,1,1,2,NA,1,NA,7,1,5,1,2,1,2,NA,NA,12,2,7,2,1,4,3,0.826983276,11,1,Biden is a lier and shouldn’t be in office! Trump has problems like anyone but has helped the USA more then Biden ever did as a VP.,Support Trump,Biden is Incompetent,Democrats are Corrupt,11.22
R_2fy6ZrtgOVU2S1U,10/25/20 10:06,10/25/20 10:13,1,5f95a272-b1df-abdb-af5c-49030596f7dd,1,47,2,3,1,1,4,1,13411,33,1,3,NA,NA,3,4,2,3,1,2,1,2,NA,NA,12,2,7,2,3,3,5,0.726966509,15,1,Trump will win they need to let him finish bring us back to life,Support Trump,NA,NA,6.92
R_3s0L6i1aReq8DpN,10/25/20 10:03,10/25/20 10:15,1,5f95a196-cc7a-8939-1a1e-2e1cc8bafc92,1,52,2,19,1,1,5,1,7644,31,1,2,NA,1,NA,7,3,4,1,2,1,2,NA,NA,2,2,1,2,1,2,6,0.494629774,8,1,"The Democrats will put country in very bad position . It will
Impact everything and Trump will do better job.",Support Trump,NA,NA,12.48
R_2zo3pA7IsnyY6mg,10/25/20 10:08,10/25/20 10:16,1,5f95a2f6-b9b8-5e6b-a6fa-92553cd10c19,1,67,1,6,1,1,3,3,72601,4,1,2,NA,1,NA,7,2,5,5,2,1,2,NA,NA,12,2,5,1,3,4,3,0.965594593,4,2,NA,Support Trump,NA,NA,7.67
R_3lDEXolGCe5CtrM,10/25/20 10:24,10/25/20 10:34,1,5f95a696-7da6-cec0-7fe5-4f466ede18f8,1,59,1,14,1,1,3,3,30054,11,1,2,NA,1,NA,7,2,5,1,7,1,2,NA,NA,2,2,6,1,2,2,6,1.333765991,12,1,Cause we need Trump to get the economy back . Biden is inferior,Support Trump,NA,NA,10.57
R_XBe2MWioKXSP5Tz,10/25/20 11:09,10/25/20 11:16,1,5f95b102-192c-db4d-e04d-e7ad2581b66a,1,32,1,1,1,1,2,1,18428,39,2,3,NA,NA,3,4,1,3,1,7,2,2,NA,NA,10,2,4,2,3,4,4,0.909990346,14,1,I think he can do a good job,Support Trump,NA,NA,7.4
R_1l0uBGz2g15psib,10/25/20 11:10,10/25/20 11:21,1,5f95b14b-82a9-9ee3-e9cf-4fc24c3f18f2,1,24,1,1,1,1,2,3,38358,44,1,3,NA,NA,2,5,1,3,5,7,1,2,NA,NA,1,2,4,3,3,5,6,1.109131494,5,1,Because Joe Bidden should not be in office by any means.,Support Trump,NA,NA,11.55
R_3L87UZTo7p5MSWt,10/25/20 11:10,10/25/20 11:23,1,5f95b173-7dc1-9e59-b09f-651d3abc8f83,1,50,2,4,15,1,5,3,34491,10,1,2,NA,2,NA,6,3,3,6,7,1,2,NA,NA,12,2,7,3,2,2,3,0.523323013,14,1,"So far the economy is up, he has done that.",Support Trump,NA,NA,12.72
R_6ytswyWSKb1xOLv,10/25/20 11:15,10/25/20 11:30,1,5f95b29a-49fc-5048-5c89-49232158eb95,1,66,1,4,1,1,2,2,68465,28,1,2,NA,1,NA,7,1,5,3,2,1,2,NA,NA,2,2,1,1,3,3,1,0.909926771,9,1,Because we need Donald Trump as the president of the USA.,Support Trump,NA,NA,14.52
R_31z6F3R7NKYmxlG,10/25/20 11:09,10/25/20 11:35,1,5f95b120-e8d1-b005-feee-91e4ef576d7e,1,53,2,1,1,1,2,3,33844,10,1,1,2,NA,NA,2,1,3,3,7,3,NA,2,NA,11,1,6,2,1,4,3,1.115174646,9,1,He is the better canidate,Support Trump,NA,NA,25.15
R_d3V5Fb8PDeLuZB7,10/25/20 11:09,10/25/20 11:37,1,5f95b145-d6b8-aa60-9714-c03717670deb,1,72,2,8,1,1,3,2,69341,28,1,2,NA,2,NA,6,2,5,1,2,3,NA,2,NA,1,1,2,2,3,3,2,1.620078915,13,1,he shouldnt but he will,Support Trump,NA,NA,27.95
R_241WMDrMMMk2iAM,10/25/20 11:10,10/25/20 11:43,1,5f95b137-9754-6a3e-1099-0dd042064929,1,45,1,22,1,1,6,3,30041,11,1,2,NA,1,NA,7,4,5,1,2,1,2,NA,NA,12,1,1,1,1,3,1,0.741167917,3,1,it is the best option to describe a good president.,Support Trump,NA,NA,33.35
R_ulZRl3HPTwnSYmJ,10/25/20 11:54,10/25/20 12:02,1,5f95bbaa-f832-d432-2022-323261c9a0ce,1,26,2,8,2,1,2,3,33312,10,1,2,NA,1,NA,7,1,1,5,2,1,2,NA,NA,2,1,1,2,2,3,1,1.488580569,6,1,I vote for trump,Support Trump,NA,NA,7.48
R_3I5htgSTMfBtN0N,10/25/20 11:55,10/25/20 12:04,1,5f95bbef-1c2a-0891-ceb1-bb8a8e0d250b,1,22,1,17,15,2,2,4,95076,5,1,2,NA,2,NA,6,1,3,5,2,1,2,NA,NA,2,1,1,2,3,3,4,2.305381031,9,1,Because trump is one of the best presidents in the USA history.,Support Trump,NA,NA,8.68
R_1GJJxaTXUoGJ1IC,10/25/20 12:42,10/25/20 13:01,1,5f95c63c-cff7-661b-234d-aede8fc78248,1,40,1,24,1,1,6,4,95018,5,1,2,NA,1,NA,7,4,4,1,2,1,2,NA,NA,2,1,1,1,1,2,3,0.642040373,5,1,Trump is right,Support Trump,NA,NA,18.93
R_3szuT3SWGvT51h4,10/25/20 12:55,10/25/20 13:02,1,5f95c9e3-9ab0-08ae-e7a9-8dd9ef4c99e6,1,23,2,1,1,1,2,4,97333,38,1,3,NA,NA,2,5,1,4,5,2,3,NA,2,NA,11,1,4,1,3,5,5,0.858135346,10,1,Because Trump is a leader and has down amazing things for this country and if he loses we will become a communist world,Support Trump,Democrats are Radical,NA,6.98
R_31opCASAlEOWr95,10/25/20 12:53,10/25/20 13:03,1,5f95c986-3af4-3ca8-b2ce-38a384e17e8f,1,50,2,1,1,1,5,2,64701,26,1,2,NA,1,NA,7,3,4,3,2,1,2,NA,NA,1,1,6,2,3,5,6,0.716440453,7,1,To win,Support Trump,NA,NA,10.52
R_23gHWDRtx5ooXQK,10/25/20 12:54,10/25/20 13:08,1,5f95c9c9-10e5-ac0b-168d-b1646a3c8f71,1,27,2,6,1,1,3,2,49505,23,1,2,NA,1,NA,7,2,4,1,2,1,2,NA,NA,1,2,2,2,2,4,4,0.95418777,7,1,"Because if Biden wins, it will be the worst thing to ever happen to America",Support Trump,Democrats are Radical,NA,13.75
R_25HHRq08KY7U9Jy,10/25/20 12:55,10/25/20 13:08,1,5f95ca2b-0973-b2b6-6ccd-5479e0b7dae6,1,26,2,1,1,1,2,3,76431,45,2,2,NA,1,NA,7,1,6,1,7,5,2,NA,NA,11,2,7,2,3,5,2,0.876835918,8,1,"Because Trump needs to stay in office, it would be a joke for Biden to become president and if he did get voted in then he wouldn’t even end up being the president for long before Kamala took over.",Support Trump,Democrats are Radical,NA,12.87
R_3J3pGCWdTdrBGnf,10/25/20 13:00,10/25/20 13:10,1,5f95cb44-6b31-4320-ffd9-458648193fb7,1,56,2,20,1,1,5,3,76643,45,1,2,NA,1,NA,7,3,5,1,2,3,NA,2,NA,1,1,1,1,2,2,6,0.587103984,5,1,If he wins the electoral vote HE WINS period,Support Trump,NA,NA,9.32
R_DHv6x2N0pk2W5Cp,10/25/20 13:03,10/25/20 13:10,1,5f95cb88-8a88-1943-f1ae-705c69aaef7b,1,31,2,2,1,1,5,2,67212,17,1,2,NA,1,NA,7,3,5,5,2,1,2,NA,NA,11,2,1,1,1,4,6,0.555207006,8,1,Because that would be a lie Biden would never win the election,Support Trump,NA,NA,6.97
R_cCIBvSrAoL2T1ol,10/25/20 13:02,10/25/20 13:14,1,5f95cb79-d5da-b517-a205-63d03c0ac6a1,1,71,1,4,1,1,3,3,32055,10,1,2,NA,1,NA,7,2,5,6,2,3,NA,2,NA,2,2,5,1,2,3,3,1.679329061,7,1,The worst thing possible would be for Biden to win. The country will totally go to Shit,Support Trump,NA,NA,12.18
R_1dlTeAwFDArCxri,10/25/20 13:01,10/25/20 13:15,1,5f95cb5f-1090-c119-59eb-0ebcc9a5feb9,1,66,2,3,1,1,2,2,65017,26,1,3,NA,NA,2,5,1,2,2,3,1,2,NA,NA,1,2,2,1,3,5,2,1.2468092,9,2,NA,Support Trump,Democrats are Corrupt,NA,14.25
R_RypFXqZBaampnQB,10/25/20 13:07,10/25/20 13:17,1,5f95cca8-ebe5-9fea-1280-a75961805e38,1,57,1,14,1,1,2,3,28457,34,1,2,NA,1,NA,7,1,3,1,7,3,NA,2,NA,1,2,1,3,3,4,6,1.410612062,5,1,I dont believe that would happen,Support Trump,NA,NA,10.05
R_1men0LJu0h449kG,10/25/20 13:11,10/25/20 13:20,1,5f95cdca-1d75-17bd-b63c-85ec51e22b8f,1,38,2,7,1,1,1,3,31562,11,1,2,NA,1,NA,7,1,6,1,2,2,2,NA,NA,12,1,7,4,3,5,4,0.815072274,12,1,Because  I think he's going to win,Support Trump,NA,NA,8.13
R_21uEaYIdDbZt1RO,10/25/20 13:13,10/25/20 13:21,1,5f95cdf0-36c7-abdb-d95b-90890c701955,1,33,1,1,1,1,2,1,5701,47,3,3,NA,NA,2,5,1,3,5,2,1,2,NA,NA,2,2,6,1,1,5,1,0.858252704,2,1,because there is no way Biden is going to win if the election were fair,Support Trump,NA,NA,8.43
R_3CVpgIvqS4FW4FT,10/25/20 13:06,10/25/20 13:21,1,5f95cc7e-b8de-a840-c7fb-0e1d22613b34,1,43,1,4,1,1,2,4,97236,38,1,2,NA,2,NA,6,1,3,5,2,1,2,NA,NA,11,1,1,2,1,4,4,0.999971362,15,1,Trump needs to be president again,Support Trump,NA,NA,15.33
R_Di8HpLRiRrF5Udz,10/25/20 13:15,10/25/20 13:27,1,5f95ceab-fe8b-06f9-32fb-80cdf72cb604,1,42,1,20,1,1,5,3,29201,42,1,2,NA,2,NA,6,3,4,1,2,1,2,NA,NA,2,1,1,1,1,2,2,0.644370397,14,1,I think Trump is the one best as USA president.,Support Trump,NA,NA,12.18
R_2RXrmnSxLA0LsmH,10/25/20 13:04,10/25/20 13:42,1,5f95cc07-09cf-b3cf-499d-cdf0da1302bd,1,29,2,9,1,1,2,4,85050,3,1,2,NA,2,NA,6,1,3,5,2,1,2,NA,NA,2,2,2,2,1,1,5,0.858135346,15,1,Because he has not won the election ane he very well may not.,Support Trump,Democrats are Corrupt,NA,38.77
